rank	name	childcount	min	max	mode	median	mean	stddev
genus	Acidimicrobium	1	2	2	2	2	2	0
genus	Chlorobium	7	1	3	2	2	1.86	0.64
genus	Buchnera	17	1	1	1	1	1	0
genus	Lactobacillus	54	4	9	5	5	5.3	1.31
genus	GpIIa	17	1	2	1	1	1.41	0.49
genus	Rhodomicrobium	1	2	2	2	2	2	0
genus	Thermacetogenium	1	3	3	3	3	3	0
genus	Maribacter	1	2	2	2	2	2	0
genus	GpIV	1	1	1	1	1	1	0
genus	Fibrella	1	3	3	3	3	3	0
genus	Pyrobaculum	7	1	1	1	1	1	0
genus	Brucella	21	3	3	3	3	3	0
genus	Melissococcus	2	4	4	4	4	4	0
genus	Bacteriovorax	1	2	2	2	2	2	0
genus	Xanthomonas	15	2	2	2	2	2	0
genus	Rhodospirillum	3	1	4	4	4	3	1.41
genus	Paenibacillus	14	6	14		12	10.86	2.77
genus	Enterobacter	17	7	8	8	8	7.88	0.32
genus	Chloroflexus	3	3	3	3	3	3	0
genus	Aliivibrio	2	12	12	12	12	12	0
genus	Polynucleobacter	3	1	1	1	1	1	0
genus	Saccharofermentans	1	2	2	2	2	2	0
genus	Sulfuricurvum	2	3	4		3.5	3.5	0.5
genus	Thermosphaera	1	1	1	1	1	1	0
genus	Chlamydophila	30	1	1	1	1	1	0
genus	Ornithobacterium	1	3	3	3	3	3	0
genus	Serratia	9	7	7	7	7	7	0
genus	Coprothermobacter	1	2	2	2	2	2	0
genus	Ochrobactrum	1	4	4	4	4	4	0
genus	GpX	2	2	2	2	2	2	0
genus	Rubrivivax	1	3	3	3	3	3	0
genus	Intrasporangium	1	2	2	2	2	2	0
genus	Acidianus	1	1	1	1	1	1	0
genus	Acholeplasma	7	2	4	2	2	2.29	0.7
genus	Methanohalophilus	1	3	3	3	3	3	0
genus	Myxococcus	1	4	4	4	4	4	0
genus	Ethanoligenens	1	3	3	3	3	3	0
genus	Thauera	1	4	4	4	4	4	0
genus	Denitrovibrio	1	2	2	2	2	2	0
genus	Herbaspirillum	1	3	3	3	3	3	0
genus	Persephonella	1	2	2	2	2	2	0
genus	Nakamurella	1	2	2	2	2	2	0
genus	Desulfitobacterium	4	5	6	6	6	5.75	0.43
genus	Magnetospirillum	1	2	2	2	2	2	0
genus	Staphylothermus	2	1	1	1	1	1	0
genus	Diapherotrites Incertae Sedis AR10	1	1	1	1	1	1	0
genus	Marinitoga	1	3	3	3	3	3	0
genus	Kosmotoga	2	2	2	2	2	2	0
genus	Ralstonia	8	3	4	3	3	3.38	0.48
genus	Herpetosiphon	1	5	5	5	5	5	0
genus	GpVI	2	2	2	2	2	2	0
genus	Alkalilimnicola	1	2	2	2	2	2	0
genus	Caldisericum	1	1	1	1	1	1	0
genus	Beutenbergia	1	2	2	2	2	2	0
genus	Pseudogulbenkiania	1	8	8	8	8	8	0
genus	Anaerobaculum	1	2	2	2	2	2	0
genus	Weissella	4	5	6	6	6	5.75	0.43
genus	Ignicoccus	1	1	1	1	1	1	0
genus	Halalkalicoccus	1	1	1	1	1	1	0
genus	Halothermothrix	1	4	4	4	4	4	0
genus	Psychromonas	2	10	10	10	10	10	0
genus	Rubinisphaera	1	2	2	2	2	2	0
